time,h_tail,h_min,V
1.016099999999980774e+01,5.166827262203727011e-02,8.695741345495396069e-04,2.816385330331482306e-01
1.018099999999979666e+01,5.206277996315258894e-02,8.599460739350979488e-04,2.806926400242855668e-01
1.020099999999978557e+01,5.245589625896544816e-02,8.503754870220099626e-04,2.797437638261954795e-01
1.022099999999977449e+01,5.284766505254144542e-02,8.408606875943865078e-04,2.787918606960873569e-01
1.024099999999976340e+01,5.323813237100623319e-02,8.276821235288674139e-04,2.778368782049468466e-01
1.026099999999975232e+01,5.362734679738234700e-02,8.112929194253500065e-04,2.768787548714333746e-01
1.028099999999974123e+01,5.401535955258271460e-02,7.952282432636854914e-04,2.759174197654950533e-01
1.030099999999973015e+01,5.440222459304303038e-02,7.794816690105017820e-04,2.749527920663043523e-01
1.032099999999971907e+01,5.478799872146657146e-02,7.640468978356192153e-04,2.739847805797177016e-01
1.034099999999970798e+01,5.517274171426181373e-02,7.489177556078314979e-04,2.730132832045529812e-01
1.036099999999969690e+01,5.555651646622708495e-02,7.340881904735648000e-04,2.720381863423191326e-01
1.038099999999968581e+01,5.593938915392036859e-02,7.195522703872421488e-04,2.710593642493775990e-01
1.040099999999967473e+01,5.632142942077016101e-02,7.053041808023526038e-04,2.700766783169775698e-01
1.042099999999966364e+01,5.670271058481060611e-02,6.913382222924098486e-04,2.690899762763662717e-01
1.044099999999965256e+01,5.708330987277715485e-02,6.776488082962557613e-04,2.680990913162230593e-01
1.046099999999964147e+01,5.746330868275871528e-02,6.642304628633639851e-04,2.671038411038546556e-01
1.048099999999963039e+01,5.784279287942793724e-02,6.510778184645911459e-04,2.661040266958200062e-01
1.050099999999961931e+01,5.822177066681233359e-02,6.381856138715398530e-04,2.650997216670311074e-01
1.052099999999960822e+01,5.859868737822143681e-02,6.255486920446369503e-04,2.640965018999905656e-01
1.054099999999959714e+01,5.897263154635677684e-02,6.131619980483012100e-04,2.630976784071809571e-01
1.056099999999958605e+01,5.934360910940131295e-02,6.010205770200678643e-04,2.621033311294359014e-01
1.058099999999957497e+01,5.971165749973879333e-02,5.891195722347482289e-04,2.611134280782791972e-01
1.060099999999956388e+01,6.007681481512494592e-02,5.774542231275110737e-04,2.601279338586968137e-01
1.062099999999955280e+01,6.043911924612198339e-02,5.660198634107778404e-04,2.591468116558510171e-01
1.064099999999954171e+01,6.079860906491950379e-02,5.548119191882312784e-04,2.581700232540385942e-01
1.066099999999953063e+01,6.115532262552290932e-02,5.438259071290536817e-04,2.571975290166498285e-01
1.068099999999951955e+01,6.150929836524034189e-02,5.330574326847976885e-04,2.562292878622028924e-01
1.070099999999950846e+01,6.186057480760386029e-02,5.225021883250198507e-04,2.552652572398270148e-01
1.072099999999949738e+01,6.220919056648147039e-02,5.121559518015024459e-04,2.543053931023315783e-01
1.074099999999948629e+01,6.255518435089590934e-02,5.020145844846397865e-04,2.533496498776335870e-01
1.076099999999947521e+01,6.289859497208001582e-02,4.920740296933297231e-04,2.523979804351426659e-01
1.078099999999946412e+01,6.323946135084312914e-02,4.823303110745476296e-04,2.514503360541898713e-01
1.080099999999945304e+01,6.357782252656488109e-02,4.727795310137290763e-04,2.505066663866726273e-01
1.082099999999944195e+01,6.391371766736504700e-02,4.634178690675790080e-04,2.495669194176463601e-01
1.084099999999943087e+01,6.424718608162113820e-02,4.542415804475626040e-04,2.486310414227093091e-01
1.086099999999941979e+01,6.457826723076869058e-02,4.452469945164412579e-04,2.476989769221548121e-01
